#{"t_start": 1699581939.2269056, "env_id": "None"}
r,l,t
-1.0,1,1.180533
-7.0,2,1.182528
-1.0,1,1.183526
-7.0,2,1.184528
-1.0,1,1.18552
-1.0,1,1.188513
-1.0,1,1.191505
-1.0,1,1.191505
-1.0,1,1.192501
-7.0,2,1.193498
-1.0,1,1.195493
-7.0,2,1.198485
-1.0,1,1.199484
-1.0,1,1.20048
-1.0,1,1.20048
-1.0,1,1.202475
-1.0,1,1.20447
-1.0,1,1.205467
-1.0,1,1.206464
-1.0,1,1.207462
-1.0,1,1.209457
-1.0,1,1.21145
-1.0,1,1.212447
-1.0,1,1.214486
-1.0,1,1.216442
-1.0,1,1.220426
-1.0,1,1.221431
-1.0,1,1.222423
-1.0,1,1.223418
-1.0,1,1.223418
-1.0,1,1.225415
-7.0,2,1.227408
-1.0,1,1.228405
-7.0,2,1.229403
-1.0,1,1.2304
-1.0,1,1.232394
-7.0,2,1.234389
-1.0,1,1.235386
-1.0,1,1.235386
-1.0,1,1.236393
-1.0,1,1.248353
-1.0,1,1.250347
-1.0,1,1.253339
-1.0,1,1.254336
-1.0,1,1.255332
-1.0,1,1.260321
-1.0,1,1.260321
-1.0,1,1.261336
-1.0,1,1.261336
-1.0,1,1.262314
-1.0,1,1.275281
-1.0,1,1.277299
-1.0,1,1.278273
-1.0,1,1.280279
-1.0,1,1.280279
-1.0,1,1.283258
-1.0,1,1.286269
-1.0,1,1.288245
-1.0,1,1.289254
-1.0,1,1.289254
-1.0,1,1.293231
-1.0,1,1.294228
-7.0,2,1.296224
-1.0,1,1.298219
-1.0,1,1.299218
-1.0,1,1.303205
-1.0,1,1.304202
-1.0,1,1.3052
-1.0,1,1.3052
-1.0,1,1.306197
-7.0,2,1.308192
-1.0,1,1.310188
-1.0,1,1.311184
-1.0,1,1.311184
-1.0,1,1.312182
-1.0,1,1.313179
-1.0,1,1.316172
-1.0,1,1.320164
-1.0,1,1.321157
-1.0,1,1.321157
-1.0,1,1.323151
-1.0,1,1.32415
-1.0,1,1.325145
-1.0,1,1.326143
-1.0,1,1.326143
-1.0,1,1.328139
-1.0,1,1.329135
-1.0,1,1.330137
-1.0,1,1.33113
-1.0,1,1.332128
-1.0,1,1.334124
